strategy,test_id,train_idx,improvement,flip
top1,22700,8117,0.008052,Extrovert→Introvert
top3,22700,8117,0.008052,Extrovert→Introvert
top3,19823,2197,0.007303,Extrovert→Introvert
top3,18833,5657,0.002928,Extrovert→Introvert
top5,22700,8117,0.008052,Extrovert→Introvert
top5,19823,2197,0.007303,Extrovert→Introvert
top5,18833,5657,0.002928,Extrovert→Introvert
top5,24665,4548,0.001757,Extrovert→Introvert
top5,19319,6593,0.001757,Extrovert→Introvert
top10,22700,8117,0.008052,Extrovert→Introvert
top10,19823,2197,0.007303,Extrovert→Introvert
top10,18833,5657,0.002928,Extrovert→Introvert
top10,24665,4548,0.001757,Extrovert→Introvert
top10,19319,6593,0.001757,Extrovert→Introvert
top10,18625,8145,0.001757,Extrovert→Introvert
top10,19065,4637,0.000977,Extrovert→Introvert
top10,21890,7881,0.000308,Extrovert→Introvert
top10,22040,1834,0.000162,Extrovert→Introvert
top10,22827,2653,0.000146,Extrovert→Introvert
all11,22700,8117,0.008052,Extrovert→Introvert
all11,19823,2197,0.007303,Extrovert→Introvert
all11,18833,5657,0.002928,Extrovert→Introvert
all11,24665,4548,0.001757,Extrovert→Introvert
all11,19319,6593,0.001757,Extrovert→Introvert
all11,18625,8145,0.001757,Extrovert→Introvert
all11,19065,4637,0.000977,Extrovert→Introvert
all11,21890,7881,0.000308,Extrovert→Introvert
all11,22040,1834,0.000162,Extrovert→Introvert
all11,22827,2653,0.000146,Extrovert→Introvert
all11,23082,4898,0.000129,Extrovert→Introvert
